"Make"	"Model"	"Description"	"AorM"	"Transmission"	"Engine Capacity"	"Fuel Type"	" Imperial Urban (Cold) "	" Imperial Extra-Urban "	" Imperial Combined "	" CO2 g/km "	" Fuel Cost 12000 Miles "	" Tax band "	" Standard 12 months "	" Standard 6 Months "
"FORD"	"Focus Model Year Post 2012½"	"1.6 Duratorq TDCi Stop-Start (95PS) Estate (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 55.40 "	" 76.30 "	" 67.30 "	" 109.00 "	" £1,191.55 "	" B "	" £20.00 "	" NA "
"FORD"	"Focus Model Year Post 2012½"	"1.6 EcoBoost Stop-Start (150PS) 5 Door "	"Manual"	"M6"	1596	"Petrol"	" 37.20 "	" 57.60 "	" 47.90 "	" 137.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Post 2012½"	"1.6 EcoBoost Stop-Start (150PS) Estate"	"Manual"	"M6"	1596	"Petrol"	" 37.20 "	" 57.60 "	" 47.90 "	" 137.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Post 2012½"	"1.6 EcoBoost Stop-Start (182PS) 5 Door"	"Manual"	"M6"	1596	"Petrol"	" 37.20 "	" 57.60 "	" 47.90 "	" 137.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Post 2012½"	"1.6 EcoBoost Stop-Start (182PS) Estate"	"Manual"	"M6"	1596	"Petrol"	" 37.20 "	" 57.60 "	" 47.90 "	" 137.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (140PS) 5 Door (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 46.30 "	" 68.90 "	" 57.60 "	" 124.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (140PS) 5 Door (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 42.80 "	" 65.70 "	" 54.30 "	" 134.00 "	" £1,476.82 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (140PS) Estate (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 46.30 "	" 68.90 "	" 57.60 "	" 124.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (140PS) Estate (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 42.80 "	" 65.70 "	" 54.30 "	" 134.00 "	" £1,476.82 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (163PS) 5 Door (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 46.30 "	" 68.90 "	" 57.60 "	" 124.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (163PS) 5 Door (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 42.80 "	" 65.70 "	" 54.30 "	" 134.00 "	" £1,476.82 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (163PS) Estate (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 46.30 "	" 68.90 "	" 57.60 "	" 124.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Post 2012½"	"2.0 Duratorq TDCi (163PS) Estate (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 42.80 "	" 65.70 "	" 54.30 "	" 134.00 "	" £1,476.82 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec (179PS) Estate"	"Manual"	"M6"	1596	"Petrol"	" 34.00 "	" 56.50 "	" 45.60 "	" 144.00 "	" £1,662.88 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Stop-Start (179PS) Estate"	"Manual"	"M6"	1596	"Petrol"	" 36.70 "	" 56.50 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (105PS) 5 Door"	"Manual"	"M5"	1596	"Petrol"	" 35.30 "	" 60.10 "	" 47.90 "	" 136.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (105PS) Estate"	"Manual"	"M5"	1596	"Petrol"	" 34.90 "	" 58.90 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (125PS) 5 Door"	"Manual"	"M5"	1596	"Petrol"	" 35.30 "	" 60.10 "	" 47.90 "	" 136.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (125PS) 5 Door FFV"	"Manual"	"M5"	1596	"Petrol/E85 (Flex Fuel)"	" 25.90 "	" 44.10 "	" 34.90 "	" 132.00 "	" £2,173.00 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (125PS) 5 Door FFV"	"Manual"	"M5"	1596	"Petrol"	" 35.30 "	" 60.10 "	" 47.90 "	" 136.00 "	" £1,583.03 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (125PS) Estate"	"Manual"	"M5"	1596	"Petrol"	" 34.90 "	" 58.90 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (125PS) Estate FFV"	"Manual"	"M5"	1596	"Petrol/E85 (Flex Fuel)"	" 25.00 "	" 43.50 "	" 34.00 "	" 135.00 "	" £2,230.00 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratec Ti-VCT (125PS) Estate FFV"	"Manual"	"M5"	1596	"Petrol"	" 34.90 "	" 58.90 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratorq TDCi Stop-Start (115PS) 5 Door (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 55.40 "	" 76.30 "	" 67.30 "	" 109.00 "	" £1,191.55 "	" B "	" £20.00 "	" NA "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratorq TDCi Stop-Start (115PS) Estate (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 55.40 "	" 76.30 "	" 67.30 "	" 109.00 "	" £1,191.55 "	" B "	" £20.00 "	" NA "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratorq TDCi Stop-Start (95PS) 5 Door (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 55.40 "	" 76.30 "	" 67.30 "	" 109.00 "	" £1,191.55 "	" B "	" £20.00 "	" NA "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 Duratorq TDCi Stop-Start (95PS) Estate (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 55.40 "	" 76.30 "	" 67.30 "	" 109.00 "	" £1,191.55 "	" B "	" £20.00 "	" NA "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 EcoBoost Stop-Start (150PS) 5 Door "	"Manual"	"M6"	1596	"Petrol"	" 36.70 "	" 56.50 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"1.6 EcoBoost Stop-Start (150PS) Estate"	"Manual"	"M6"	1596	"Petrol"	" 36.70 "	" 56.50 "	" 47.10 "	" 139.00 "	" £1,609.92 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratec (170PS) 5 Door"	"Automatic"	"A6"	1976	"Petrol"	" 31.00 "	" 57.60 "	" 44.10 "	" 149.00 "	" £1,719.44 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratec (170PS) 5 Door"	"Manual"	"M6"	1976	"Petrol"	" 29.40 "	" 56.50 "	" 42.20 "	" 156.00 "	" £1,796.85 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratec (170PS) Estate"	"Automatic"	"A6"	1976	"Petrol"	" 31.00 "	" 57.60 "	" 44.10 "	" 149.00 "	" £1,719.44 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratec (170PS) Estate"	"Manual"	"M6"	1976	"Petrol"	" 29.40 "	" 56.50 "	" 42.20 "	" 156.00 "	" £1,796.85 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (140PS) 5 Door (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 44.80 "	" 67.30 "	" 56.50 "	" 129.00 "	" £1,419.32 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (140PS) 5 Door (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 41.50 "	" 64.20 "	" 53.30 "	" 139.00 "	" £1,504.53 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (140PS) Estate (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 44.80 "	" 67.30 "	" 56.50 "	" 129.00 "	" £1,419.32 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (140PS) Estate (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 41.50 "	" 64.20 "	" 53.30 "	" 139.00 "	" £1,504.53 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (163PS) 5 Door (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 44.80 "	" 67.30 "	" 56.50 "	" 129.00 "	" £1,419.32 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (163PS) 5 Door (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 41.50 "	" 64.20 "	" 53.30 "	" 139.00 "	" £1,504.53 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (163PS) Estate (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 44.80 "	" 67.30 "	" 56.50 "	" 129.00 "	" £1,419.32 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Focus Model Year Pre 2012½"	"2.0 Duratorq TDCi (163PS) Estate (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 41.50 "	" 64.20 "	" 53.30 "	" 139.00 "	" £1,504.53 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Fusion Model Year Post 2011"	"1.4 Duratec (80PS)"	"Manual"	"M5"	1388	"Petrol"	" 32.10 "	" 52.30 "	" 42.80 "	" 154.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Fusion Model Year Post 2011"	"1.6 Duratec (100PS)"	"Manual"	"M5"	1596	"Petrol"	" 31.00 "	" 52.30 "	" 42.20 "	" 157.00 "	" £1,796.85 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Galaxy Model Year Post 2012¾"	"1.6 Duratec EcoBoost Stop-Start (160PS)"	"Manual"	"M6"	1596	"Petrol"	" 31.00 "	" 46.30 "	" 39.20 "	" 167.00 "	" £1,934.37 "	" H "	" £195.00 "	" £107.25 "
"FORD"	"Galaxy Model Year Post 2012¾"	"1.6 Duratorq Stop-Start (115PS) (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 47.90 "	" 57.60 "	" 54.30 "	" 139.00 "	" £1,476.82 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Galaxy Model Year Post 2012¾"	"2.0 Duratec EcoBoost (203PS)"	"Automatic"	"A6"	1999	"Petrol"	" 25.70 "	" 44.10 "	" 34.90 "	" 189.00 "	" £2,172.70 "	" J "	" £250.00 "	" £137.50 "
"FORD"	"Galaxy Model Year Post 2012¾"	"2.0 Duratorq (140PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 42.20 "	" 60.10 "	" 52.30 "	" 143.00 "	" £1,533.30 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Galaxy Model Year Post 2012¾"	"2.0 Duratorq (140PS) (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 38.20 "	" 54.30 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Galaxy Model Year Post 2012¾"	"2.0 Duratorq (163PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 42.20 "	" 60.10 "	" 52.30 "	" 143.00 "	" £1,533.30 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Galaxy Model Year Post 2012¾"	"2.0 Duratorq (163PS) (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 38.20 "	" 54.30 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Galaxy Model Year Post 2012¾"	"2.2 Duratorq (200PS) (+DPF)"	"Manual"	"M6"	2179	"Diesel"	" 33.60 "	" 48.70 "	" 41.50 "	" 179.00 "	" £1,932.32 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Galaxy Model Year Post 2012¾"	"2.2 Duratorq (200PS) (+DPF)"	"Automatic"	"A6"	2179	"Diesel"	" 30.10 "	" 48.70 "	" 39.80 "	" 189.00 "	" £2,014.86 "	" J "	" £250.00 "	" £137.50 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"1.6 Duratec EcoBoost Stop-Start (160PS)"	"Manual"	"M6"	1596	"Petrol"	" 31.00 "	" 46.30 "	" 39.20 "	" 167.00 "	" £1,934.37 "	" H "	" £195.00 "	" £107.25 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"1.6 Duratorq Stop-Start (115PS) (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 47.90 "	" 57.60 "	" 54.30 "	" 139.00 "	" £1,476.82 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratec (145PS)"	"Manual"	"M5"	1999	"Petrol"	" 25.00 "	" 44.10 "	" 34.40 "	" 189.00 "	" £2,204.28 "	" J "	" £250.00 "	" £137.50 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratec (145PS) FFV"	"Manual"	"M5"	1999	"Petrol/E85 (Flex Fuel)"	" 19.20 "	" 32.80 "	" 25.90 "	" 179.00 "	" £2,928.00 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratec (145PS) FFV"	"Manual"	"M5"	1999	"Petrol"	" 25.20 "	" 43.50 "	" 34.40 "	" 191.00 "	" £2,204.28 "	" J "	" £250.00 "	" £137.50 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratec EcoBoost (203PS)"	"Automatic"	"A6"	1999	"Petrol"	" 25.70 "	" 44.10 "	" 34.90 "	" 189.00 "	" £2,172.70 "	" J "	" £250.00 "	" £137.50 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratorq (115PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 40.40 "	" 58.90 "	" 50.40 "	" 149.00 "	" £1,591.10 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratorq (140PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 40.40 "	" 58.90 "	" 50.40 "	" 149.00 "	" £1,591.10 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratorq (140PS) (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 38.20 "	" 54.30 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratorq (163PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 40.40 "	" 58.90 "	" 50.40 "	" 149.00 "	" £1,591.10 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.0 Duratorq (163PS) (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 38.20 "	" 54.30 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.2 Duratorq (200PS) (+DPF)"	"Manual"	"M6"	2179	"Diesel"	" 33.60 "	" 48.70 "	" 41.50 "	" 179.00 "	" £1,932.32 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Galaxy Model Year Pre 2012¾"	"2.2 Duratorq (200PS) (+DPF)"	"Automatic"	"A6"	2179	"Diesel"	" 30.10 "	" 48.70 "	" 39.80 "	" 189.00 "	" £2,014.86 "	" J "	" £250.00 "	" £137.50 "
"FORD"	"Grand C-MAX Model Year Post 2012¾"	"1.6 Duratec GTDi Stop-Start (182PS)"	"Manual"	"M6"	1596	"Petrol"	" 34.40 "	" 51.40 "	" 42.80 "	" 154.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Grand C-MAX Model Year Post 2012¾"	"1.6 Duratec Ti-VCT (125PS)"	"Manual"	"M5"	1596	"Petrol"	" 32.80 "	" 51.40 "	" 42.20 "	" 154.00 "	" £1,796.85 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Grand C-MAX Model Year Post 2012¾"	"1.6 Duratorq TDCi (115PS) (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 48.70 "	" 64.20 "	" 57.60 "	" 129.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Grand C-MAX Model Year Post 2012¾"	"1.6 EcoBoost SCTi Stop-Start (150PS)"	"Manual"	"M6"	1596	"Petrol"	" 34.40 "	" 51.40 "	" 42.80 "	" 154.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Grand C-MAX Model Year Post 2012¾"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 42.80 "	" 62.80 "	" 53.30 "	" 139.00 "	" £1,504.53 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Grand C-MAX Model Year Post 2012¾"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 38.20 "	" 56.50 "	" 48.70 "	" 154.00 "	" £1,646.64 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Grand C-MAX Model Year Pre 2012¾"	"1.6 Duratec GTDi Stop-Start (182PS)"	"Manual"	"M6"	1596	"Petrol"	" 34.40 "	" 51.40 "	" 42.80 "	" 154.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Grand C-MAX Model Year Pre 2012¾"	"1.6 Duratec Ti-VCT (125PS)"	"Manual"	"M5"	1596	"Petrol"	" 31.70 "	" 49.60 "	" 40.90 "	" 159.00 "	" £1,853.97 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Grand C-MAX Model Year Pre 2012¾"	"1.6 Duratorq TDCi (115PS) (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 48.70 "	" 64.20 "	" 57.60 "	" 129.00 "	" £1,392.21 "	" D "	" £100.00 "	" £55.00 "
"FORD"	"Grand C-MAX Model Year Pre 2012¾"	"1.6 EcoBoost SCTi Stop-Start (150PS)"	"Manual"	"M6"	1596	"Petrol"	" 34.40 "	" 51.40 "	" 42.80 "	" 154.00 "	" £1,771.67 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Grand C-MAX Model Year Pre 2012¾"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 42.80 "	" 62.80 "	" 53.30 "	" 139.00 "	" £1,504.53 "	" E "	" £120.00 "	" £66.00 "
"FORD"	"Grand C-MAX Model Year Pre 2012¾"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Automatic"	"A6"	1997	"Diesel"	" 38.20 "	" 56.50 "	" 48.70 "	" 154.00 "	" £1,646.64 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Ka Model Year Post 2011"	"1.2 Duratec (69PS)"	"Manual"	"M5"	1242	"Petrol"	" 48.70 "	" 64.20 "	" 57.60 "	" 115.00 "	" £1,316.45 "	" C "	" £30.00 "	" NA "
"FORD"	"Ka Model Year Post 2011"	"1.3 Duratorq (75PS)"	"Manual"	"M5"	1248	"Diesel"	" 57.60 "	" 76.30 "	" 68.90 "	" 109.00 "	" £1,163.88 "	" B "	" £20.00 "	" NA "
"FORD"	"Kuga Model Year Post 2011½"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 38.20 "	" 56.50 "	" 47.90 "	" 154.00 "	" £1,674.14 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Kuga Model Year Post 2011½"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Manual"	"M6-AWD"	1997	"Diesel"	" 37.20 "	" 55.40 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Kuga Model Year Post 2011½"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Automatic"	"A6-AWD"	1997	"Diesel"	" 33.20 "	" 48.70 "	" 41.50 "	" 179.00 "	" £1,932.32 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Kuga Model Year Post 2011½"	"2.0 Duratorq TDCi (163PS) (+DPF)"	"Manual"	"M6-AWD"	1997	"Diesel"	" 37.20 "	" 55.40 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Kuga Model Year Post 2011½"	"2.0 Duratorq TDCi (163PS) (+DPF)"	"Automatic"	"A6-AWD"	1997	"Diesel"	" 33.20 "	" 48.70 "	" 41.50 "	" 179.00 "	" £1,932.32 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Kuga Model Year Post 2011½"	"2.5 Duratec (200PS)"	"Manual"	"M6-AWD"	2521	"Petrol"	" 20.30 "	" 37.20 "	" 28.50 "	" 234.00 "	" £2,660.61 "	" L "	" £460.00 "	" £253.00 "
"FORD"	"Kuga Model Year Post 2011½"	"2.5 Duratec (200PS)"	"Automatic"	"A5-AWD"	2521	"Petrol"	" 19.30 "	" 36.20 "	" 27.40 "	" 244.00 "	" £2,767.42 "	" L "	" £460.00 "	" £253.00 "
"FORD"	"Kuga Model Year Pre 2011½"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Manual"	"M6"	1997	"Diesel"	" 37.70 "	" 56.50 "	" 47.90 "	" 156.00 "	" £1,674.14 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Kuga Model Year Pre 2011½"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Manual"	"M6-AWD"	1997	"Diesel"	" 37.20 "	" 55.40 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Kuga Model Year Pre 2011½"	"2.0 Duratorq TDCi (140PS) (+DPF)"	"Automatic"	"A6-AWD"	1997	"Diesel"	" 33.20 "	" 48.70 "	" 41.50 "	" 179.00 "	" £1,932.32 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Kuga Model Year Pre 2011½"	"2.0 Duratorq TDCi (163PS) (+DPF)"	"Manual"	"M6-AWD"	1997	"Diesel"	" 37.20 "	" 55.40 "	" 47.10 "	" 159.00 "	" £1,702.58 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Kuga Model Year Pre 2011½"	"2.0 Duratorq TDCi (163PS) (+DPF)"	"Automatic"	"A6-AWD"	1997	"Diesel"	" 33.20 "	" 48.70 "	" 41.50 "	" 179.00 "	" £1,932.32 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Kuga Model Year Pre 2011½"	"2.5 Duratec (200PS)"	"Manual"	"M6-AWD"	2521	"Petrol"	" 20.30 "	" 37.20 "	" 28.50 "	" 234.00 "	" £2,660.61 "	" L "	" £460.00 "	" £253.00 "
"FORD"	"Kuga Model Year Pre 2011½"	"2.5 Duratec (200PS)"	"Automatic"	"A5-AWD"	2521	"Petrol"	" 19.30 "	" 36.20 "	" 27.40 "	" 244.00 "	" £2,767.42 "	" L "	" £460.00 "	" £253.00 "
"FORD"	"Mondeo Model Year Post 2012¾"	"1.6 Duratec EcoBoost (160PS) Estate"	"Manual"	"M6"	1596	"Petrol"	" 34.40 "	" 52.30 "	" 44.10 "	" 149.00 "	" £1,719.44 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Mondeo Model Year Post 2012¾"	"1.6 Duratec EcoBoost (160PS) Saloon"	"Manual"	"M6"	1596	"Petrol"	" 34.40 "	" 52.30 "	" 44.10 "	" 149.00 "	" £1,719.44 "	" F "	" £135.00 "	" £74.25 "
"FORD"	"Mondeo Model Year Post 2012¾"	"1.6 Duratec Ti-VCT (120PS) Estate"	"Manual"	"M5"	1596	"Petrol"	" 31.00 "	" 53.30 "	" 42.20 "	" 156.00 "	" £1,796.85 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Mondeo Model Year Post 2012¾"	"1.6 Duratec Ti-VCT (120PS) Saloon"	"Manual"	"M5"	1596	"Petrol"	" 31.00 "	" 53.30 "	" 42.20 "	" 156.00 "	" £1,796.85 "	" G "	" £170.00 "	" £93.50 "
"FORD"	"Mondeo Model Year Post 2012¾"	"1.6 Duratorq Stop-Start (115PS) Estate (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 56.50 "	" 72.40 "	" 65.70 "	" 114.00 "	" £1,220.57 "	" C "	" £30.00 "	" NA "
"FORD"	"Mondeo Model Year Post 2012¾"	"1.6 Duratorq Stop-Start (115PS) Saloon (+DPF)"	"Manual"	"M6"	1560	"Diesel"	" 56.50 "	" 72.40 "	" 65.70 "	" 114.00 "	" £1,220.57 "	" C "	" £30.00 "	" NA "
"FORD"	"Mondeo Model Year Post 2012¾"	"2.0 Duratec (145PS) Estate"	"Manual"	"M5"	1999	"Petrol"	" 25.20 "	" 47.10 "	" 35.80 "	" 184.00 "	" £2,118.08 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Mondeo Model Year Post 2012¾"	"2.0 Duratec (145PS) Saloon"	"Manual"	"M5"	1999	"Petrol"	" 25.20 "	" 47.10 "	" 35.80 "	" 184.00 "	" £2,118.08 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Mondeo Model Year Post 2012¾"	"2.0 Duratec EcoBoost (203PS) Estate"	"Automatic"	"A6"	1976	"Petrol"	" 26.40 "	" 47.10 "	" 36.70 "	" 179.00 "	" £2,066.14 "	" I "	" £215.00 "	" £118.25 "
"FORD"	"Mondeo Model Year Post 2012¾"	"2.0 Duratec EcoBoost (203PS) Saloon"	"Automatic"	"A6"	1976	"Petrol"	" 26.40 "	" 47.10 "	" 36.70 "	" 179.00 "	" £2,066.14 "	" I "	" £215.00 "	" £118.25 "
